ICOD = 0:No mistakes
Number of iterations 11
Final value of shooting parametr 1.0009765625
   x         y            deltaU      y'                  deltaU'
-0.09000   8.10000e-03   3.90625e-03  -1.80000e-01   1.44329e-15
-0.08000   6.40000e-03   3.90625e-03  -1.60000e-01   1.41553e-15
-0.07000   4.90000e-03   3.90625e-03  -1.40000e-01   1.38778e-15
-0.06000   3.60000e-03   3.90625e-03  -1.20000e-01   1.37390e-15
-0.05000   2.50000e-03   3.90625e-03  -1.00000e-01   1.36002e-15
-0.04000   1.60000e-03   3.90625e-03  -8.00000e-02   1.56819e-15
-0.03000   9.00000e-04   3.90625e-03  -6.00000e-02   1.55431e-15
-0.02000   4.00000e-04   3.90625e-03  -4.00000e-02   1.54043e-15
-0.01000   1.00000e-04   3.90625e-03  -2.00000e-02   1.52309e-15
 0.00000   0.00000e+00   3.90625e-03   0.00000e+00   1.50574e-15
 0.01000   1.00000e-04   3.90625e-03   2.00000e-02   1.48839e-15
 0.02000   4.00000e-04   3.90625e-03   4.00000e-02   1.47105e-15
 0.03000   9.00000e-04   3.90625e-03   6.00000e-02   1.45717e-15
 0.04000   1.60000e-03   3.90625e-03   8.00000e-02   1.44329e-15
 0.05000   2.50000e-03   3.90625e-03   1.00000e-01   1.42941e-15
 0.06000   3.60000e-03   3.90625e-03   1.20000e-01   1.41553e-15
 0.07000   4.90000e-03   3.90625e-03   1.40000e-01   1.38778e-15
 0.08000   6.40000e-03   3.90625e-03   1.60000e-01   1.36002e-15
 0.09000   8.10000e-03   3.90625e-03   1.80000e-01   1.33227e-15
 0.10000   1.00000e-02   3.90625e-03   2.00000e-01   1.30451e-15
 0.11000   1.21000e-02   3.90625e-03   2.20000e-01   1.27676e-15
 0.12000   1.44000e-02   3.90625e-03   2.40000e-01   1.24900e-15
 0.13000   1.69000e-02   3.90625e-03   2.60000e-01   1.22125e-15
 0.14000   1.96000e-02   3.90625e-03   2.80000e-01   1.22125e-15
 0.15000   2.25000e-02   3.90625e-03   3.00000e-01   1.22125e-15
 0.16000   2.56000e-02   3.90625e-03   3.20000e-01   1.66533e-15
 0.17000   2.89000e-02   3.90625e-03   3.40000e-01   1.66533e-15
 0.18000   3.24000e-02   3.90625e-03   3.60000e-01   1.66533e-15
 0.19000   3.61000e-02   3.90625e-03   3.80000e-01   1.66533e-15
 0.20000   4.00000e-02   3.90625e-03   4.00000e-01   1.66533e-15
 0.21000   4.41000e-02   3.90625e-03   4.20000e-01   1.66533e-15
 0.22000   4.84000e-02   3.90625e-03   4.40000e-01   1.66533e-15
 0.23000   5.29000e-02   3.90625e-03   4.60000e-01   1.66533e-15
 0.24000   5.76000e-02   3.90625e-03   4.80000e-01   1.66533e-15
 0.25000   6.25000e-02   3.90625e-03   5.00000e-01   1.66533e-15
 0.26000   6.76000e-02   3.90625e-03   5.20000e-01   1.66533e-15
 0.27000   7.29000e-02   3.90625e-03   5.40000e-01   1.66533e-15
 0.28000   7.84000e-02   3.90625e-03   5.60000e-01   1.66533e-15
 0.29000   8.41000e-02   3.90625e-03   5.80000e-01   1.66533e-15
 0.30000   9.00000e-02   3.90625e-03   6.00000e-01   1.66533e-15
 0.31000   9.61000e-02   3.90625e-03   6.20000e-01   1.66533e-15
 0.32000   1.02400e-01   3.90625e-03   6.40000e-01   1.66533e-15
 0.33000   1.08900e-01   3.90625e-03   6.60000e-01   1.66533e-15
 0.34000   1.15600e-01   3.90625e-03   6.80000e-01   1.66533e-15
 0.35000   1.22500e-01   3.90625e-03   7.00000e-01   1.66533e-15
 0.36000   1.29600e-01   3.90625e-03   7.20000e-01   1.66533e-15
 0.37000   1.36900e-01   3.90625e-03   7.40000e-01   1.66533e-15
 0.38000   1.44400e-01   3.90625e-03   7.60000e-01   1.66533e-15
 0.39000   1.52100e-01   3.90625e-03   7.80000e-01   1.66533e-15
 0.40000   1.60000e-01   3.90625e-03   8.00000e-01   1.66533e-15
 0.41000   1.68100e-01   3.90625e-03   8.20000e-01   2.10942e-15
 0.42000   1.76400e-01   3.90625e-03   8.40000e-01   2.10942e-15
 0.43000   1.84900e-01   3.90625e-03   8.60000e-01   2.10942e-15
 0.44000   1.93600e-01   3.90625e-03   8.80000e-01   2.10942e-15
 0.45000   2.02500e-01   3.90625e-03   9.00000e-01   2.10942e-15
 0.46000   2.11600e-01   3.90625e-03   9.20000e-01   2.10942e-15
 0.47000   2.20900e-01   3.90625e-03   9.40000e-01   2.10942e-15
 0.48000   2.30400e-01   3.90625e-03   9.60000e-01   2.10942e-15
 0.49000   2.40100e-01   3.90625e-03   9.80000e-01   2.10942e-15
 0.50000   2.50000e-01   3.90625e-03   1.00000e+00   1.99840e-15
 0.51000   2.60100e-01   3.90625e-03   1.02000e+00   1.99840e-15
